STATE_CODE,CONSTITUENCY,LOK_SABHA_ID
AP,Ichchapuram,2
AP,Palasa,2
AP,Tekkali,2
AP,Pathapatnam,2
AP,Srikakulam,2
AP,Amadalavalasa,2
AP,Etcherla,3
AP,Narasannapeta,2
AP,Rajam,3
AP,Palakonda,1
AP,Kurupam,1
AP,Parvathipuram,1
AP,Salur,1
AP,Bobbili,3
AP,Cheepurupalli,3
AP,Gajapathinagaram,3
AP,Nellimarla,3
AP,Vizianagaram,3
AP,Srungavarapukota,2
AP,Bhimili,2
AP,Visakhapatnam East,2
AP,Visakhapatnam South,2
AP,Visakhapatnam North,2
AP,Visakhapatnam West,2
AP,Gajuwaka,2
AP,Chodavaram,
AP,Madugula,
AP,Araku Valley,
AP,Paderu,
AP,Anakapalle,
AP,Pendurthi,
AP,Elamanchili,
AP,Payakaraopet,1
AP,Narsipatnam,1
AP,Tuni,1
AP,Prathipadu,1
AP,Pithapuram,1
AP,Kakinada Rural,1
AP,Peddapuram,1
AP,Anaparthy,1
AP,Kakinada City,1
AP,Ramachandrapuram,
AP,Mummidivaram,
AP,Amalapuram,
AP,Razole,
AP,Gannavaram,
AP,Kothapeta,
AP,Mandapeta,
AP,Rajanagaram,1
AP,Rajahmundry City,1
AP,Rajahmundry Rural,1
AP,Jaggampeta,1
AP,Rampachodavaram,1
AP,Kovvur,1
AP,Nidadavole,1
AP,Achanta,1
AP,Palakollu,1
AP,Narasapuram,1
AP,Bhimavaram,1
AP,Undi,1
AP,Tanuku,1
AP,Tadepalligudem,1
AP,Unguturu,1
AP,Denduluru,1
AP,Eluru,1
AP,Gopalapuram,1
AP,Polavaram,1
AP,Chintalapudi,1
AP,Tiruvuru,1
AP,Nuzvid,1
AP,Gannavaram,1
AP,Gudivada,1
AP,Kaikalur,1
AP,Pedana,1
AP,Machilipatnam,1
AP,Avanigadda,1
AP,Pamarru,1
AP,Penamaluru,1
AP,Vijayawada West,2
AP,Vijayawada Central,2
AP,Vijayawada East,2
AP,Mylavaram,2
AP,Nandigama,2
AP,Jaggayyapeta,2
AP,Pedakurapadu,1
AP,Tadikonda,1
AP,Mangalagiri,1
AP,Ponnuru,1
AP,Vemuru,1
AP,Repalle,1
AP,Tenali,1
AP,Bapatla,1
AP,Prathipadu,1
AP,Guntur West,1
AP,Guntur East,1
AP,Chilakaluripet,1
AP,Narasaraopet,1
AP,Sattenapalle,1
AP,Vinukonda,1
AP,Gurajala,1
AP,Macherla,1
AP,Yerragondapalem,1
AP,Darsi,1
AP,Parchur,1
AP,Addanki,1
AP,Chirala,1
AP,Santhanuthalapadu,1
AP,Ongole,1
AP,Kandukur,1
AP,Kondapi,1
AP,Markapuram,1
AP,Giddalur,1
AP,Kanigiri,1
AP,Kavali,1
AP,Atmakur,1
AP,Kovur,1
AP,Nellore City,1
AP,Nellore Rural,1
AP,Sarvepalli,2
AP,Gudur,2
AP,Sullurpeta,2
AP,Venkatagiri,2
AP,Udayagiri,1
AP,Badvel,1
AP,Rajampet,1
AP,Kadapa,1
AP,Kodur,1
AP,Rayachoti,1
AP,Pulivendla,1
AP,Kamalapuram,1
AP,Jammalamadugu,1
AP,Proddatur,1
AP,Mydukur,1
AP,Allagadda,17
AP,Srisailam,17
AP,Nandikotkur,17
AP,Kurnool,1
AP,Panyam,17
AP,Nandyal,17
AP,Banaganapalle,17
AP,Dhone,17
AP,Pattikonda,1
AP,Kodumur,1
AP,Yemmiganur,1
AP,Mantralayam,1
AP,Adoni,1
AP,Alur,1
AP,Rayadurg,
AP,Uravakonda,
AP,Guntakal,
AP,Tadipatri,
AP,Singanamala,
AP,Anantapur Urban,
AP,Kalyandurg,
AP,Raptadu,1
AP,Madakasira,1
AP,Hindupur,1
AP,Penukonda,1
AP,Puttaparthi,1
AP,Dharmavaram,1
AP,Kadiri,1
AP,Thamballapalle,1
AP,Pileru,1
AP,Madanapalle,1
AP,Punganur,1
AP,Chandragiri,1
AP,Tirupati,1
AP,Srikalahasti,2
AP,Sathyavedu,2
AP,Nagari,2
AP,Gangadhara Nellore,1
AP,Chittoor,1
AP,Puthalapattu,1
AP,Palamaner,1
AP,Kuppam,1
AR,Lumla,26
AR,Tawang,26
AR,Mukto,26
AR,Dirang,26
AR,Kalaktang,26
AR,Thrizino-Buragaon,26
AR,Bomdila,26
AR,Bameng,26
AR,Chayangtajo,26
AR,Seppa East,26
AR,Seppa West,26
AR,Pakke-Kasang,26
AR,Itanagar,26
AR,Doimukh,26
AR,Sagalee,26
AR,Yachuli,26
AR,Ziro-Hapoli,26
AR,Palin,26
AR,Nyapin,26
AR,Tali,26
AR,Koloriang,26
AR,Nacho,26
AR,Taliha,26
AR,Daporijo,26
AR,Raga,26
AR,Damporijo,26
AR,Liromoba,26
AR,Likabali,26
AR,Basar,26
AR,Along West,26
AR,Along East,26
AR,Rumgong,26
AR,Mechuka,26
AR,Tuting-Yingkiong,25
AR,Pangin,25
AR,Nari-Koyu,25
AR,Pasighat West,25
AR,Pasighat East,25
AR,Mebo,25
AR,Mariyang-Geku,25
AR,Anini,25
AR,Dambuk,25
AR,Roing,25
AR,Tezu,25
AR,Hayuliang,25
AR,Chowkham,25
AR,Namsai,25
AR,Lekang,25
AR,Bordumsa-Diyum,25
AR,Miao,25
AR,Nampong,25
AR,Changlang South,25
AR,Changlang North,25
AR,Namsang,25
AR,Khonsa East,25
AR,Khonsa West,25
AR,Borduria-Bagapani,25
AR,Kanubari,25
AR,Longding-Pumao,25
AR,Pongchau-Wakka,25
AS,Ratabari,28
AS,Patharkandi,28
AS,Karimganj North,28
AS,Karimganj South,28
AS,Badarpur,28
AS,Hailakandi,28
AS,Katlicherra,28
AS,Algapur,28
AS,Silchar,29
AS,Sonai,29
AS,Dholai,29
AS,Udharbond,29
AS,Lakhipur,29
AS,Barkhola,29
AS,Katigorah,29
AS,Haflong,27
AS,Bokajan,27
AS,Howraghat,27
AS,Diphu,27
AS,Baithalangso,27
AS,Mankachar,27
AS,Salmara South,27
AS,Dhubri,27
AS,Gauripur,27
AS,Golakganj,27
AS,Bilasipara West,27
AS,Bilasipara East,27
AS,Gossaigaon,28
AS,Kokrajhar West,28
AS,Kokrajhar East,28
AS,Sidli,28
AS,Bongaigaon,27
AS,Bijni,28
AS,Abhayapuri North,27
AS,Abhayapuri South,27
AS,Dudhnai,34
AS,Goalpara East,27
AS,Goalpara West,27
AS,Jaleswar,27
AS,Sorbhog,28
AS,Bhabanipur,28
AS,Patacharkuchi,27
AS,Barpeta,27
AS,Jania,27
AS,Baghbar,27
AS,Sarukhetri,27
AS,Chenga,27
AS,Boko,34
AS,Chaygaon,34
AS,Palasbari,34
AS,Jalukbari,34
AS,Dispur,34
AS,Gauhati East,34
AS,Gauhati West,34
AS,Hajo,34
AS,Kamalpur,28
AS,Rangiya,28
AS,Tamulpur,28
AS,Nalbari,28
AS,Barkhetry,34
AS,Dharmapur,27
AS,Barama,28
AS,Chapaguri,28
AS,Panery,28
AS,Kalaigaon,28
AS,Sipajhar,28
AS,Mangaldoi,28
AS,Dalgaon,28
AS,Udalguri,28
AS,Majbat,28
AS,Dhekiajuli,36
AS,Barchalla,36
AS,Tezpur,36
AS,Rangapara,36
AS,Sootea,36
AS,Biswanath,36
AS,Behali,36
AS,Gohpur,36
AS,Jagiroad,28
AS,Marigaon,28
AS,Laharighat,28
AS,Raha,28
AS,Dhing,38
AS,Batadroba,38
AS,Rupohihat,38
AS,Nowgong,28
AS,Barhampur,28
AS,Samaguri,38
AS,Kaliabor,38
AS,Jamunamukh,28
AS,Hojai,28
AS,Lumding,28
AS,Bokakhat,38
AS,Sarupathar,38
AS,Golaghat,38
AS,Khumtai,38
AS,Dergaon,38
AS,Jorhat,34
AS,Majuli,28
AS,Titabar,34
AS,Mariani,34
AS,Teok,34
AS,Amguri,34
AS,Nazira,34
AS,Mahmara,34
AS,Sonari,34
AS,Thowra,34
AS,Sibsagar,34
AS,Bihpuria,36
AS,Naoboicha,28
AS,Lakhimpur,28
AS,Dhakuakhana,28
AS,Dhemaji,28
AS,Jonai,28
AS,Moran,27
AS,Dibrugarh,27
AS,Lahowal,27
AS,Duliajan,27
AS,Tingkhong,27
AS,Naharkatia,27
AS,Chabua,28
AS,Tinsukia,27
AS,Digboi,27
AS,Margherita,27
AS,Doomdooma,28
AS,Sadiya,28
BR,Valmiki Nagar ,81
BR,"Ramnagar, Paschim Champaran ",81
BR,Narkatiaganj ,81
BR,Bagaha ,81
BR,Lauriya ,81
BR,Nautan ,42
BR,Chanpatia ,42
BR,Bettiah ,42
BR,Sikta ,81
BR,Raxaul ,42
BR,Sugauli ,42
BR,Narkatiya ,42
BR,Harsidhi ,43
BR,Govindganj ,43
BR,Kesaria ,43
BR,"Kalyanpur, Purvi Champaran ",43
BR,"Pipra, Purvi Champaran ",43
BR,Madhuban ,44
BR,Motihari ,43
BR,Chiraia ,44
BR,Dhaka ,44
BR,Sheohar ,44
BR,Riga ,44
BR,Bathnaha ,45
BR,Parihar ,45
BR,Sursand ,45
BR,Bajpatti ,45
BR,Sitamarhi ,45
BR,Runnisaidpur ,45
BR,Belsand ,44
BR,Harlakhi ,41
BR,Benipatti ,41
BR,Khajauli ,41
BR,Babubarhi ,41
BR,Bisfi ,41
BR,Madhubani ,41
BR,"Rajnagar, Madhubani ",41
BR,Jhanjharpur ,41
BR,Phulparas ,41
BR,Laukaha ,41
BR,Nirmali ,48
BR,"Pipra, Supaul ",48
BR,Supaul ,48
BR,Triveniganj ,48
BR,Chhatapur ,48
BR,Narpatganj ,41
BR,"Raniganj, Araria ",41
BR,Forbesganj ,41
BR,Araria ,41
BR,Jokihat ,41
BR,Sikti ,41
BR,Bahadurganj ,51
BR,Thakurganj ,51
BR,Kishanganj ,51
BR,Kochadhaman ,51
BR,Amour ,51
BR,Baisi ,51
BR,"Kasba, Purnia ",42
BR,Banmankhi ,42
BR,Rupauli ,42
BR,Dhamdaha ,42
BR,Purnia ,42
BR,Katihar ,51
BR,Kadwa ,51
BR,"Balrampur, Katihar ",51
BR,Pranpur ,51
BR,Manihari ,51
BR,Barari ,51
BR,Korha ,42
BR,Alamnagar ,53
BR,Bihariganj ,53
BR,Singheshwar ,55
BR,Madhepura ,53
BR,"Sonbarsha, Saharsa ",53
BR,Saharsa ,53
BR,Simri Bakhtiarpur ,51
BR,Mahishi ,53
BR,Kusheshwar Asthan ,43
BR,Gaura Bauram ,41
BR,Benipur ,41
BR,Alinagar ,41
BR,Darbhanga Rural ,41
BR,Darbhanga ,41
BR,Hayaghat ,43
BR,Bahadurpur ,41
BR,Keoti ,41
BR,Jale ,41
BR,Gaighat ,41
BR,Aurai ,41
BR,Minapur ,56
BR,Bochahan ,41
BR,Sakra ,41
BR,Kurhani ,41
BR,Muzaffarpur ,41
BR,Kanti ,56
BR,Baruraj ,56
BR,Paroo ,56
BR,"Sahebganj, Muzaffarpur ",56
BR,Baikunthpur ,41
BR,"Barauli, Bihar ",41
BR,Gopalganj ,41
BR,Kuchaikote ,41
BR,Bhore ,41
BR,Hathua ,41
BR,Siwan ,47
BR,Ziradei ,47
BR,Darauli ,47
BR,"Raghunathpur, Siwan ",47
BR,Daraunda ,47
BR,Barharia ,47
BR,Goriakothi ,59
BR,"Maharajganj, Siwan ",59
BR,Ekma ,59
BR,Manjhi ,59
BR,Baniapur ,59
BR,Taraiya ,59
BR,Marhaura ,43
BR,"Chapra, Saran ",43
BR,Garkha ,43
BR,Amnour ,43
BR,Parsa ,43
BR,Sonepur ,43
BR,Hajipur ,41
BR,Lalganj ,41
BR,Vaishali ,56
BR,Mahua ,41
BR,Raja Pakar ,41
BR,"Raghopur, Vaishali ",41
BR,Mahnar ,41
BR,Patepur ,55
BR,"Kalyanpur, Samastipur ",43
BR,Warisnagar ,43
BR,Samastipur ,43
BR,Ujiarpur ,55
BR,Morwa ,55
BR,Sarairanjan ,55
BR,Mohiuddinnagar ,55
BR,Bibhutipur ,55
BR,Rosera ,43
BR,Hasanpur ,51
BR,Cheria-Bariarpur ,41
BR,Bachhwara ,41
BR,Teghra ,41
BR,Matihani ,41
BR,Sahebpur Kamal ,41
BR,Begusarai ,41
BR,Bakhri ,41
BR,Alauli ,51
BR,Khagaria ,51
BR,Beldaur ,51
BR,Parbatta ,51
BR,Bihpur ,41
BR,Gopalpur ,41
BR,Pirpainti ,41
BR,Kahalgaon ,41
BR,Bhagalpur ,41
BR,Sultanganj ,41
BR,Nathnagar ,41
BR,Amarpur ,41
BR,Dhoraiya ,41
BR,Banka ,41
BR,Katoria ,41
BR,Belhar ,41
BR,Tarapur ,41
BR,Munger ,68
BR,"Jamalpur, Munger ",68
BR,Suryagarha ,68
BR,Lakhisarai ,68
BR,Sheikhpura ,41
BR,Barbigha ,41
BR,Asthawan ,41
BR,Biharsharif ,41
BR,Rajgir ,41
BR,"Islampur, Nalanda ",41
BR,Hilsa ,41
BR,Nalanda ,41
BR,Harnaut ,41
BR,Mokama ,68
BR,Barh ,68
BR,Bakhtiarpur ,42
BR,Digha ,42
BR,Bankipur ,42
BR,Kumhrar ,42
BR,Patna Sahib ,42
BR,Fatuha ,42
BR,Danapur ,42
BR,Maner ,42
BR,Phulwari ,42
BR,Masaurhi ,42
BR,Paliganj ,42
BR,Bikram ,42
BR,Sandesh ,41
BR,Barhara ,41
BR,Arrah ,41
BR,Agiaon ,41
BR,Tarari ,41
BR,Jagdishpur ,41
BR,Shahpur ,41
BR,Brahampur ,41
BR,Buxar ,41
BR,Dumraon ,41
BR,Rajpur ,41
BR,"Ramgarh, Kaimur ",41
BR,Mohania ,43
BR,Bhabua ,43
BR,Chainpur ,43
BR,Chenari ,43
BR,Sasaram ,43
BR,Kargahar ,43
BR,Dinara ,41
BR,Nokha ,41
BR,Dehri ,41
BR,Karakat ,41
BR,Arwal ,41
BR,Kurtha ,41
BR,Jehanabad ,41
BR,Ghosi ,41
BR,Makhdumpur ,41
BR,Goh ,41
BR,Obra ,41
BR,Nabinagar ,41
BR,Kutumba ,41
BR,Aurangabad ,41
BR,Rafiganj ,41
BR,Gurua ,41
BR,Sherghati ,41
BR,Imamganj ,41
BR,Barachatti ,41
BR,Bodh Gaya ,41
BR,Gaya Town ,41
BR,Tikari ,41
BR,Belaganj ,41
BR,Atri ,41
BR,Wazirganj ,41
BR,Rajauli ,41
BR,Hisua ,41
BR,Nawada ,41
BR,Gobindpur ,41
BR,Warsaliganj ,41
BR,Sikandra ,41
BR,Jamui ,41
BR,Jhajha ,41
BR,Chakai ,41
CT,Bharatpur-Sonhat,85
CT,Manendragarh,85
CT,Baikunthpur,85
CT,Premnagar,92
CT,Bhatgaon,92
CT,Pratappur,92
CT,Ramanujganj,92
CT,Samri,92
CT,Lundra,92
CT,Ambikapur,92
CT,Sitapur,92
CT,Jashpur,81
CT,Kunkuri,81
CT,Pathalgaon,81
CT,Lailunga,81
CT,Raigarh,81
CT,Sarangarh,81
CT,Kharsia,81
CT,Dharamjaigarh,81
CT,Rampur,85
CT,Korba,85
CT,Katghora,85
CT,Pali-Tanakhar,85
CT,Marwahi,85
CT,Kota,81
CT,Lormi,81
CT,Mungeli,81
CT,Takhatpur,81
CT,Bilha,81
CT,Bilaspur,81
CT,Beltara,81
CT,Masturi,81
CT,Akaltara,81
CT,Janjgir-Champa,81
CT,Sakti,81
CT,Chandrapur,81
CT,Jaijaipur,81
CT,Pamgarh,81
CT,Saraipali,81
CT,Basna,81
CT,Khallari,81
CT,Mahasamund,81
CT,Bilaigarh,81
CT,Kasdol,81
CT,Baloda Bazar,89
CT,Bhatapara,89
CT,Dharsiwa,89
CT,Raipur Rural,89
CT,Raipur City West,89
CT,Raipur City North,89
CT,Raipur City South,89
CT,Arang,89
CT,Abhanpur,89
CT,Rajim,81
CT,Bindrawagarh,81
CT,Sihawa,81
CT,Kurud,81
CT,Dhamtari,81
CT,Sanjari Balod,81
CT,Daundi Lohara,81
CT,Gunderdehi,81
CT,Patan,81
CT,Durg Gramin,81
CT,Durg City,81
CT,Bhilai Nagar,81
CT,Vaishali Nagar,81
CT,Ahiwara,81
CT,Saja,81
CT,Bemetara,81
CT,Navagarh,81
CT,Pandariya,81
CT,Kawardha,81
CT,Khairagarh,81
CT,Dongargarh,81
CT,Rajnandgaon,81
CT,Dongargaon,81
CT,Khujji,81
CT,Mohla-Manpur,81
CT,Antagarh,81
CT,Bhanupratappur,81
CT,Kanker,81
CT,Keshkal,81
CT,Kondagaon,81
CT,Narayanpur,81
CT,Bastar (Jagdalpur rural),81
CT,Jagdalpur city,81
CT,Chitrakot,81
CT,Dantewada,81
CT,Bijapur,81
CT,Konta,81
DL,Nerela,92
DL,Burari,92
DL,Timarpur,92
DL,Adarsh Nagar,92
DL,Badli,92
DL,Rithala,92
DL,Bawana,92
DL,Mundka,92
DL,Kirari,92
DL,Sultanpur Majra,92
DL,Nangloi Jat,92
DL,Mangol Puri,92
DL,Rohini,92
DL,Shalimar Bagh,92
DL,Shakur Basti,92
DL,Tri Nagar,92
DL,Wazirpur,92
DL,Model Town,92
DL,Sadar Bazar,92
DL,Chandni Chowk,92
DL,Matia Mahal,92
DL,Ballimaran,92
DL,Karol Bagh,92
DL,Patel Nagar,92
DL,Moti Nagar,92
DL,Madipur,92
DL,Rajouri Garden,92
DL,Hari Nagar,92
DL,Tilak Nagar,92
DL,Janakpuri,92
DL,Vikaspuri,92
DL,Uttam Nagar,92
DL,Dwarka,92
DL,Matiala,92
DL,Najafgarh,92
DL,Bijwasan,92
DL,Palam,92
DL,Delhi Cantonment,92
DL,Rajinder Nagar,92
DL,New Delhi,92
DL,Jangpura,92
DL,Kasturba Nagar,92
DL,Malviya Nagar,92
DL,R K Puram,92
DL,Mehrauli,92
DL,Chhatarpur,92
DL,Deoli,92
DL,Ambedkar Nagar,92
DL,Sangam Vihar,92
DL,Greater Kailash,92
DL,Kalkaji,92
DL,Tughlkabad,92
DL,Badarpur,92
DL,Okhla,92
DL,Trilokpuri,92
DL,Kondli,92
DL,Patparganj,92
DL,Laxmi Nagar,92
DL,Vishwas Nagar,92
DL,Krishna Nagar,92
DL,Gandhi Nagar,92
DL,Shahdara,92
DL,Seemapuri,92
DL,Rohtas Nagar,92
DL,Seelampur,92
DL,Ghonda,92
DL,Babarpur,92
DL,Gokalpur,92
DL,Mustafabad,92
DL,Karawal Nagar,92
GA,Mandrem,92
GA,Pernem,92
GA,Bicholim,92
GA,Tivim,92
GA,Mapusa,92
GA,Siolim,92
GA,Saligao,92
GA,Calangute,92
GA,Porvorim,92
GA,Aldona,92
GA,Panaji,92
GA,Taleigao,92
GA,Santa Cruz,92
GA,St. Andre,92
GA,Cumbarjua,92
GA,Maem,92
GA,Sanquelim,92
GA,Poriem,92
GA,Valpoi,92
GA,Priol,92
GA,Ponda,92
GA,Siroda,92
GA,Marcaim,92
GA,Mormugao,92
GA,Vasco Da Gama,92
GA,Dabolim,92
GA,Cortalim,92
GA,Nuvem,92
GA,Curtorim,92
GA,Fatorda,92
GA,Margao,92
GA,Benaulim,92
GA,Navelim,92
GA,Cuncolim,92
GA,Velim,92
GA,Quepem,92
GA,Curchorem,92
GA,Sanvordem,92
GA,Sanguem,92
GA,Canacona,92
GJ,Abdasa,110
GJ,Mandvi,110
GJ,Bhuj,110
GJ,Anjar,110
GJ,Gandhidham,110
GJ,Rapar,110
GJ,Vav,110
GJ,Tharad,110
GJ,Dhanera,110
GJ,Danta,110
GJ,Vadgam,110
GJ,Palanpur,110
GJ,Deesa,110
GJ,Deodar,110
GJ,Kankrej,110
GJ,Radhanpur,119
GJ,Chanasma,119
GJ,Patan,119
GJ,Sidhpur,119
GJ,Kheralu,111
GJ,Unjha,111
GJ,Visnagar,111
GJ,Bechraji,111
GJ,Kadi,111
GJ,Mahesana,111
GJ,Vijapur,111
GJ,Himatnagar,119
GJ,Idar,119
GJ,Khedbrahma,119
GJ,Prantij,119
GJ,Bhiloda,110
GJ,Modasa,110
GJ,Bayad,110
GJ,Dahegam,110
GJ,Gandhinagar South,110
GJ,Gandhinagar North,110
GJ,Mansa,110
GJ,Kalol,110
GJ,Viramgam,94
GJ,Sanand,94
GJ,Ghatlodia,94
GJ,Vejalpur,94
GJ,Vatva,94
GJ,Ellisbridge,94
GJ,Naranpura,94
GJ,Nikol,94
GJ,Naroda,94
GJ,Thakkarbapa Nagar,94
GJ,Bapunagar,94
GJ,Amraiwadi,94
GJ,Dariapur,94
GJ,Jamalpur-Khadiya,94
GJ,Maninagar,94
GJ,Danilimda,94
GJ,Sabarmati,94
GJ,Asarwa,94
GJ,Daskroi,94
GJ,Dholka,94
GJ,Dhandhuka,94
GJ,Dasada,119
GJ,Limdi,119
GJ,Wadhwan,119
GJ,Chotila,119
GJ,Dhangadhra,119
GJ,Morbi,111
GJ,Tankara,111
GJ,Wankaner,111
GJ,Rajkot East,119
GJ,Rajkot West,119
GJ,Rajkot South,119
GJ,Rajkot Rural,119
GJ,Jasdan,119
GJ,Gondal,119
GJ,Jetpur,119
GJ,Dhoraji,119
GJ,Kalavad,110
GJ,Jamnagar Rural,110
GJ,Jamnagar North,110
GJ,Jamnagar South,110
GJ,Jamjodhpur,110
GJ,Khambhaliya,110
GJ,Dwarka,110
GJ,Porbandar,119
GJ,Kutiyana,119
GJ,Manavadar,110
GJ,Junagadh,110
GJ,Visavadar,110
GJ,Keshod,110
GJ,Mangrol,110
GJ,Somnath,110
GJ,Talala,110
GJ,Kodinar,110
GJ,Una,110
GJ,Dhari,102
GJ,Amreli,102
GJ,Lathi,102
GJ,Savarkundla,102
GJ,Rajula,102
GJ,Mahuva,110
GJ,Talaja,110
GJ,Gariadhar,110
GJ,Palitana,110
GJ,Bhavnagar Rural,110
GJ,Bhavnagar East,110
GJ,Bhavnagar West,110
GJ,Gadhada,110
GJ,Botad,110
GJ,Khambhat,110
GJ,Borsad,110
GJ,Anklav,110
GJ,Umreth,110
GJ,Anand,110
GJ,Petlad,110
GJ,Sojitra,110
GJ,Matar,111
GJ,Nadiad,111
GJ,Mehmedabad,111
GJ,Mahudha,111
GJ,Thasra,111
GJ,Kapadvanj,111
GJ,Balasinor,111
GJ,Lunawada,111
GJ,Santrampur,111
GJ,Shehra,119
GJ,Morva Hadaf,119
GJ,Godhara,119
GJ,Kaalol,119
GJ,Halol,119
GJ,Fatepura,110
GJ,Jhalod,110
GJ,Limkheda,110
GJ,Dahod,110
GJ,Garbada,110
GJ,Devgadhbariya,110
GJ,Jetpur (ST),110
GJ,Chhota Udaipur,110
GJ,Sankheda,110
GJ,Savli,119
GJ,Vaghodiya,119
GJ,Dabhoi,119
GJ,Vadodara City,119
GJ,Sayajigunj,119
GJ,Akota,119
GJ,Raopura,119
GJ,Manjalpur,119
GJ,Padra,119
GJ,Karjan,119
GJ,Nandod,111
GJ,Dediapada,111
GJ,Jambusar,110
GJ,Vagra,110
GJ,Jhagadiya,110
GJ,Bharuch,110
GJ,Ankleshwar,110
GJ,Olpad,119
GJ,Mangrol,119
GJ,Mandvi,119
GJ,Kamrej,119
GJ,Surat East,119
GJ,Surat North,119
GJ,Varachha Road,119
GJ,Karanj,119
GJ,Limbayat,119
GJ,Udhana,119
GJ,Majura,119
GJ,Katargam,119
GJ,Surat West,119
GJ,Choryasi,119
GJ,Bardoli,119
GJ,Mahuva,119
GJ,Vyara,119
GJ,Nizar,119
GJ,Dang,110
GJ,Jalalpore,119
GJ,Navsari,119
GJ,Gandevi,119
GJ,Vansda,119
GJ,Dharampur,120
GJ,Valsad,120
GJ,Pardi,120
GJ,Kaprada,120
GJ,Umbergaon,120
HR,Kalka,121
HR,Panchkula,121
HR,Naraingarh,121
HR,Ambala Cantt,121
HR,Ambala City,121
HR,Mulana,121
HR,Sadhaura,121
HR,Jagadhri,121
HR,Yamunanagar,121
HR,Radaur,122
HR,Ladwa,122
HR,Shahbad,122
HR,Thanesar,122
HR,Pehowa,122
HR,Guhla,122
HR,Kalayat,122
HR,Kaithal,122
HR,Pundri,122
HR,Nilokheri,121
HR,Indri,121
HR,Karnal,121
HR,Gharaunda,121
